,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Item Description,Supplier/Link,Status,QTY,Cost,SubTotal,Total
MILAPEAK 10pcs (5 Sets) 6 Positions Dual Row 600V 25A Screw Terminal Strip Blocks with Cover + 400V 25A 6 Positions Pre-Insulated Terminals Barrier Strip,Amazon,Received,1,13.89,13.89,
BOJACK 3 Values 130 Pcs Solderless Breadboard 4 Pcs 830 Tie Points & 400 Tie Points & 126 Pcs Flexible Breadboard Jumper Wires,Amazon,Received,1,9.99,9.99,
ELEGOO 8 Channel DC 5V Relay Module with Optocoupler Compatible with Arduino UNO R3 MEGA 1280 DSP ARM PIC AVR STM32,Amazon,Received,1,8.99,8.99,
"Barrina T5 Grow Lights for Indoor Plants, Full Spectrum Grow Light, 1ft LED Plant Light, Black Cover LED Grow Light Strips, 3 Mounting Modes, Magnetic Installation, Plug and Play, 5000K, 4 Packs",Amazon,Received,1,30.59,30.59,
ELEGOO UNO R3 Board ATmega328P with USB Cable(Arduino-Compatible) for Arduino,Amazon,Received,1,16.99,16.99,
"DIN Rail Mount DC 5-32V 8 Channel Pluggable Top Wiring Terminal Block Power Distribution Fuse Module, HCDC HD064VT",Amazon,Received,1,30,30,
2PCS DS3231 AT24C32 IIC RTC Module Clock Timer Memory Module Beats Replace DS1307 I2C RTC Board with Male to Female Jumper Wire Cable,Amazon,Received,1,6.59,6.59,
GDSTIME 120mm x 38mm 12V DC Waterproof IP67 Fan High CFM Dual Ball Bearing 2Pin for DIY Cooling Ventilation Exhaust Projects,Amazon,Received,1,25.99,25.99,
HiLetgo 5pcs Capacitive Soil Moisture Sensor Module Wide Voltage 3.3~5.5V with Cable Wire for Arduino,Amazon,Received,1,8.99,8.99,
BOJACK 14 Vaules 840 pcs 2-125mm Solderless Flexible Breadboard Connecting Line Cables Breadboard Jumper Wires kit,Amazon,Received,1,13.99,13.99,
"100pcs Drip Irrigation 1/4"" Universal Barbed Tee Fittings, 1/4 Inch Barbed Connectors Drip Irrigation Fittings for 4mm/7mm Water Tube Drip Irrigation Watering System",Amazon,Received,1,7.99,7.99,
KEING Rocker Switch Panel 12V Marine Boat Switch Panel Waterproof 12 Volt Blue LED Light Toggle Switch ON Off with Pre-Wired for Boat Automotive Car Truck RV UTV (6 Gang),Amazon,Received,1,22.99,22.99,
"ACBungji Misting Cooling System with Pump Filter Kit,20FT/6M Mist Line 6 Brass Mist Nozzle 116 PSI 5L/Min DIY for Outdooor Patio Porch Greenhouse Backyard",Amazon,Received,1,43.99,43.99,
30 Pcs Adjustable Water Flow Irrigation Dripper with 30Pcs Irrigation Drip Emitters Support Stakes Watering Dripper Irrigation System Drippers for Garden Lawn Plants Succulents Flower Irrigation,Amazon,Received,1,14.99,14.99,
Adafruit Sensirion SHT31-D - Temperature and Humidity Sensor,Amazon,Received,1,19.95,19.95,
DIANN 12V to 5V 3A 15W Buck Converter Module - DC to DC Regulator Car Power Converter with Wire Interface,Amazon,Received,1,5.99,5.99,
"HiLetgo 0.96"" SSD1306 I2C IIC SPI Serial 128X64 OLED LCD Display 4 Pin Font Color White",Amazon,Received,1,6.99,6.99,
"Taiss 560PCS 2.54mm JST-XH Connector Kit 2.54mm 2/3/4/5/6 Pin Housing Female and Male Adapter Cable Connector Plug,JST Connector Female Pin Head Connector Adapter Plug",Amazon,Received,1,9.99,9.99,
BNTECHGO 24 Gauge Silicone Ribbon Cable Flexible 4P Black 50 ft Flat Cable 24 AWG Stranded Tinned Copper Wire,Amazon,Received,1,22.98,22.98,
"Cambro Camwear Food Pan, 1/2 by 4-Inch, Long Clear",Amazon,Received,4,19.49,77.96,
Ultra-Small GPIO Terminal Block Breakout Board Module for Arduino UNO R3,Amazon,Received,1,18.9,18.9,
Fermerry 22 AWG Stranded Wire Spool 10ft Each 6 Colors Flexible 22 Gauge Silicone Hook up Wire Kit Electrical Tinned Copper Wire,Amazon,Received,1,10.79,10.79,
XHF 1700 PCS Ferrule Crimping Tool Kit with Hexagonal Ferrule Crimper Insulated Wire End Ferrules Terminals,Amazon,Received,1,19.99,19.99,
"150 PCS Hydroponic Pods Kit, Seed Pods Kit for Aerogarden, Grow Anything Kit, Coolrunner Hydroponics Garden Accessories with 24 Baskets, 50 Stickers, 50 Sponges, 2 Tweezers, 24 Planting Cove (150)",Amazon,Received,1,14.59,14.59,
"40PCS L Bracket Corner Brace Sets, Stainless Steel Corner Brackets, 90 Degree Right Angle Bracket, Metal L Brackets for Shelves Wood Furniture Cabinet Chair Drawer with 80PCS Screws, Black (20mmx20mm)",Amazon,Received,1,6.99,,449.51
